
2026/02/19 (17:00:10) | ===> btop++ v.1.3.2
2026/02/19 (17:00:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/02/19 (17:26:29) | ===> btop++ v.1.3.2
2026/02/19 (17:26:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/02/19 (18:30:30) | ===> btop++ v.1.3.2
2026/02/19 (18:30:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/02/21 (15:25:07) | ===> btop++ v.1.3.2
2026/02/21 (15:25:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/02/23 (20:41:38) | ===> btop++ v.1.3.2
2026/02/23 (20:41:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/02/23 (20:48:14) | ===> btop++ v.1.3.2
2026/02/23 (20:48:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/02/23 (20:48:34) | ===> btop++ v.1.3.2
2026/02/23 (20:48:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/02/23 (23:03:50) | ===> btop++ v.1.3.2
2026/02/23 (23:03:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/02/25 (16:42:19) | ===> btop++ v.1.3.2
2026/02/25 (16:42:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/02/27 (22:36:16) | ===> btop++ v.1.3.2
2026/02/27 (22:36:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/02/28 (08:50:09) | ===> btop++ v.1.3.2
2026/02/28 (08:50:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/03/02 (13:32:15) | ===> btop++ v.1.3.2
2026/03/02 (13:32:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/03/10 (19:28:00) | ===> btop++ v.1.3.2
2026/03/10 (19:28:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/03/19 (08:51:23) | ===> btop++ v.1.3.2
2026/03/19 (08:51:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/03/20 (16:29:29) | ===> btop++ v.1.3.2
2026/03/20 (16:29:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/04/01 (19:50:51) | ===> btop++ v.1.3.2
2026/04/01 (19:50:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/04/01 (21:15:10) | ===> btop++ v.1.3.2
2026/04/01 (21:15:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/04/01 (21:17:31) | ERROR: Stall in Runner thread, restarting!

2026/04/01 (21:23:23) | ===> btop++ v.1.3.2
2026/04/01 (21:23:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/04/01 (23:42:44) | ===> btop++ v.1.3.2
2026/04/01 (23:42:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/04/06 (22:05:14) | ===> btop++ v.1.3.2
2026/04/06 (22:05:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/04/13 (21:04:57) | ===> btop++ v.1.3.2
2026/04/13 (21:04:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/04/13 (21:05:03) | WARNING: Failed to join _runner thread on exit!

2026/04/16 (09:40:25) | ===> btop++ v.1.3.2
2026/04/16 (09:40:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/04/16 (09:40:31) | WARNING: Failed to join _runner thread on exit!

2026/04/16 (09:41:53) | ===> btop++ v.1.3.2
2026/04/16 (09:41:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/04/19 (08:44:00) | ===> btop++ v.1.3.2
2026/04/19 (08:44:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
